first_name,last_name,thru,topar
Mike,Weir,,
Kevin,Na,,
Vijay,Singh,,
Scott,Stallings,,
Matthew,McClean,,
Sandy,Lyle,,
Jason,Kokrak,,
Talor,Gooch,,
Fred,Couples,,
Russell,Henley,,
Alex,Noren,,
Adrian,Meronk,,
Kevin,Kisner,,
Louis,Oosthuizen,,
Larry,Mize,,
Min Woo,Lee,,
Harrison,Crowe,,
Sergio,Garcia,,
Kazuki,Higa,,
Keith,Mitchell,,
Patrick,Reed,,
Adam,Svensson,,
Sahith,Theegala,,
Shane,Lowry,,
Mackenzie,Hughes,,
Thomas,Pieters,,
Bubba,Watson,,
Seamus,Power,,
Mateo,Fernandez de Oliveira,,
Abraham,Ancer,,
Chris,Kirk,,
Keegan,Bradley,,
Tiger,Woods,,
Viktor,Hovland,,
Xander,Schauffele,,
Adam,Scott,,
Patrick,Cantlay,,
Kurt,Kitayama,,
Justin,Thomas,,
Jon,Rahm,,
Cameron,Young,,
Hideki,Matsuyama,,
Cameron,Smith,,
Sungjae,Im,,
Jose Maria,Olazabal,,
Cameron,Champ,,
Charl,Schwartzel,,
Taylor,Moore,,
Aldrich,Potgieter,,
J. T.,Poston,,
Francesco,Molinari,,
Bryson,DeChambeau,,
Bernhard,Langer,,
Mito,Pereira,,
Ben,Carr,,
Danny,Willett,,
Gary,Woodland,,
Brooks,Koepka,,
Sepp,Straka,,
Harold,Varner III,,
Kyoung-Hoon,Lee,,
Phil,Mickelson,,
Tom,Hoge,,
Si Woo,Kim,,
Billy,Horschel,,
Harris,English,,
Ryan,Fox,,
Zach,Johnson,,
Jason,Day,,
Gordon,Sargent,,
Brian,Harman,,
Joaquin,Niemann,,
Tyrrell,Hatton,,
Dustin,Johnson,,
Corey,Conners,,
Justin,Rose,,
Matthew,Fitzpatrick,,
Collin,Morikawa,,
Will,Zalatoris,,
Scottie,Scheffler,,
Max,Homa,,
Sam,Bennett,,
Tom,Kim,,
Rory,McIlroy,,
Sam,Burns,,
Jordan,Spieth,,
Tommy,Fleetwood,,
Tony,Finau,,
